Title,Link,Runtime,Genres,Parental Guidelines,Stars
How to with John Wilson,http://www.imdb.com/title/tt10801534,30 min,"['Documentary', 'Comedy']",TV-MA,"['John Wilson', 'Kyle MacLachlan', 'Justin A. Martell', 'Niko Nelson']"
The Upshaws,http://www.imdb.com/title/tt10945036,30 min,['Comedy'],TV-14,"['Mike Epps', 'Kim Fields', 'Khali Spraggins', 'Wanda Sykes']"
The Outsider,http://www.imdb.com/title/tt8550800,60 min,"['Crime', 'Drama', 'Horror']",TV-MA,"['Ben Mendelsohn', 'Bill Camp', 'Jeremy Bobb', 'Mare Winningham']"
Star Wars: The Bad Batch,http://www.imdb.com/title/tt12708542,,"['Animation', 'Action', 'Adventure']",TV-PG,"['Ming-Na Wen', 'Dee Bradley Baker', 'Michelle Ang', 'Noshir Dalal']"
Walker,http://www.imdb.com/title/tt11006642,42 min,"['Action', 'Crime', 'Drama']",TV-14,"['Jared Padalecki', 'Molly Hagan', 'Keegan Allen', 'Violet Brinson']"
FBI: Most Wanted,http://www.imdb.com/title/tt9742936,45 min,"['Action', 'Crime', 'Drama']",TV-14,"['Roxy Sternberg', 'Keisha Castle-Hughes', 'Alexa Davalos', 'Julian McMahon']"
Big Sky,http://www.imdb.com/title/tt11794642,60 min,"['Crime', 'Drama', 'Mystery']",TV-14,"['Katheryn Winnick', 'Kylie Bunbury', 'Dedee Pfeiffer', 'J. Anthony Pena']"
Firefly Lane,http://www.imdb.com/title/tt9012876,,"['Drama', 'Romance']",TV-MA,"['Katherine Heigl', 'Sarah Chalke', 'Ben Lawson', 'Ali Skovbye']"
American Horror Stories,http://www.imdb.com/title/tt12306692,45 min,"['Drama', 'Horror', 'Mystery']",TV-MA,"['Sierra McCormick', 'Paris Jackson', 'Merrin Dungey', 'Selena Sloan']"
Swagger,http://www.imdb.com/title/tt8005626,60 min,"['Drama', 'Sport']",TV-14,"[""O'Shea Jackson Jr."", 'Isaiah R. Hill', 'Shinelle Azoroh', 'Tessa Ferrer']"
Hunters,http://www.imdb.com/title/tt7456722,60 min,"['Crime', 'Drama', 'Mystery']",TV-MA,"['Al Pacino', 'Logan Lerman', 'Lena Olin', 'Josh Radnor']"
Nine Perfect Strangers,http://www.imdb.com/title/tt8760932,388 min,"['Drama', 'Mystery', 'Thriller']",TV-MA,"['Nicole Kidman', 'Melissa McCarthy', 'Michael Shannon', 'Luke Evans']"
Upload,http://www.imdb.com/title/tt7826376,30 min,"['Comedy', 'Mystery', 'Sci-Fi']",TV-MA,"['Robbie Amell', 'Andy Allo', 'Allegra Edwards', 'Zainab Johnson']"
Sweet Tooth,http://www.imdb.com/title/tt12809988,50 min,"['Action', 'Adventure', 'Drama']",TV-14,"['Nonso Anozie', 'Christian Convery', 'Adeel Akhtar', 'Stefania LaVie Owen']"
